period,county,Total Dewormed,Acute Malnutrition,stunted 6-23 months,stunted 0-<6 months,stunted 24-59 months,diarrhoea cases,Underweight 0-<6 months,Underweight 6-23 months,Underweight 24-59 Months
21-Jan,Baringo County,1917,4,66,555,17,895,78,90,21
21-Jan,Bomet County,1306,,40,17,33,4255,58,96,33
21-Jan,Bungoma County,4367,,46,44,22,2045,154,190,54
21-Jan,Busia County,885,,149,883,7,514,70,70,13
21-Jan,Elgeyo Marakwet County,1767,,56,53,2,1881,58,85,11
21-Jan,Embu County,817,10,15,4,,384,83,211,13
21-Jan,Garissa County,4888,65,37,6,67,1514,64,370,253
21-Jan,Homa Bay County,1377,9,56,165,8,829,31,184,126
21-Jan,Isiolo County,1093,28,24,1,55,892,24,105,97
21-Jan,Kajiado County,4866,63,147,77,43,2690,170,264,3256
21-Jan,Kakamega County,5500,18,42,33,17,2044,129,169,83
21-Jan,Kericho County,599,,,,1,1034,55,149,27
21-Jan,Kiambu County,4362,3,142,83,12,3274,368,525,95
21-Jan,Kilifi County,2482,1,444,145,216,2960,212,813,128
21-Jan,Kirinyaga County,1666,,76,18,5,2804,68,316,196
21-Jan,Vihiga County,1254,18,78,9,2,198,19,35,7
21-Jan,Uasin Gishu County,2660,,181,149,10,3859,174,291,33
21-Jan,Turkana County,7529,79,280,106,139,5409,218,1236,1181
21-Jan,Trans Nzoia County,305,,7,89,6,704,36,24,10
21-Jan,Tharaka Nithi County,2484,23,56,69,38,1045,77,199,40
21-Jan,Tana River County,1208,114,77,26,29,1670,52,276,130
21-Jan,Taita Taveta County,211,,32,4,8,251,50,36,15
21-Jan,Siaya County,1927,,,6,3,920,41,93,19
21-Jan,Samburu County,2100,9,63,19,28,1630,33,224,161
21-Jan,Nyeri County,3255,10,156,133,15,1482,279,327,46
21-Jan,Nyandarua County,2623,,53,43,14,909,86,162,27
21-Jan,Nyamira County,1146,,10,44,1,597,42,64,11
21-Jan,Narok County,6303,22,64,41,33,2827,86,374,42
21-Jan,Nandi County,1618,2,9,19,26,843,29,50,12
21-Jan,Nakuru County,9728,49,967,309,42,7620,912,1568,163
21-Jan,Nairobi County,14049,224,1782,513,268,6598,853,2002,317
21-Jan,Muranga County,4902,,465,140,33,2158,220,529,54
21-Jan,Mombasa County,1963,54,159,109,6,1734,277,671,71
21-Jan,Migori County,7981,27,20,8,2,1002,33,64,6
21-Jan,Meru County,1872,19,45,93,19,1131,144,111,29
21-Jan,Marsabit County,2212,23,99,35,206,1947,67,253,433
21-Jan,Mandera County,3986,23,123,42,137,5216,116,399,512
21-Jan,Makueni County,4054,5,596,80,85,1507,99,393,114
21-Jan,Machakos County,4748,199,127,63,109,3631,321,681,146
21-Jan,Lamu County,162,,3,,,530,6,26,5
21-Jan,Laikipia County,10948,,113,137,69,1647,176,248,31
21-Jan,Kwale County,34623,4,204,31,41,544,47,308,50
21-Jan,Kitui County,1593,2,109,35,37,928,106,269,79
21-Jan,Kisumu County,1893,11,29,6,27,2580,191,192,50
21-Jan,Kisii County,774,,12,4,12,678,128,81,131
21-Jan,Wajir County,5854,354,179,16,252,2146,55,535,524
21-Jan,West Pokot County,2630,28,41,26,16,2371,38,170,86
21-Feb,Baringo County,4376,1,114,34,24,1599,72,212,107
21-Feb,Bomet County,1428,,10,3,6,3691,47,42,11
21-Feb,Bungoma County,7537,,133,52,40,3582,340,444,117
21-Feb,Busia County,1937,3,104,53,15,737,114,183,30
21-Feb,Elgeyo Marakwet County,3860,,121,69,26,2734,106,403,51
21-Feb,Embu County,2889,36,169,115,36,768,152,503,64
21-Feb,Garissa County,6436,123,47,11,47,1716,65,290,356
21-Feb,Homa Bay County,3368,5,103,152,49,1838,90,263,65
21-Feb,Isiolo County,1074,29,69,8,49,950,14,118,121
21-Feb,Kajiado County,5538,50,170,108,30,4174,211,306,60
21-Feb,Kakamega County,10379,,78,40,18,3444,167,359,400
21-Feb,Kericho County,1581,,7,,4,3125,87,229,42
21-Feb,Kiambu County,5934,149,528,157,33,4954,436,941,112
21-Feb,Kilifi County,2890,,466,173,100,4498,211,798,185
21-Feb,Kirinyaga County,1604,,65,43,21,1902,97,233,48
21-Feb,Vihiga County,1074,29,38,23,8,247,28,67,25
21-Feb,Uasin Gishu County,6270,,342,96,48,5442,226,556,28
21-Feb,Turkana County,8635,150,244,65,189,6372,345,1383,1161
21-Feb,Trans Nzoia County,1093,,7,9,,732,34,24,1
21-Feb,Tharaka Nithi County,2502,15,94,64,22,940,123,203,31
21-Feb,Tana River County,1524,95,108,67,64,1834,44,309,102
21-Feb,Taita Taveta County,319,,40,6,8,255,19,68,11
21-Feb,Siaya County,2331,,15,8,4,1313,60,95,38
21-Feb,Samburu County,2025,,89,7,25,1704,87,267,207
21-Feb,Nyeri County,3536,7,157,144,18,1384,210,403,51
21-Feb,Nyandarua County,3018,,169,82,13,947,132,174,32
21-Feb,Nyamira County,1712,9,46,26,5,784,49,75,28
21-Feb,Narok County,6502,18,105,54,25,2510,78,147,63
21-Feb,Nandi County,4090,85,56,35,7,1763,68,206,19
21-Feb,Nakuru County,10104,94,276,393,58,7304,750,1256,156
21-Feb,Nairobi County,19529,324,1684,1742,329,9130,967,2869,775
21-Feb,Muranga County,5995,4,386,171,49,2143,273,562,106
21-Feb,Mombasa County,2215,25,180,132,23,2306,268,783,128
21-Feb,Migori County,2257,16,19,25,9,1281,46,154,24
21-Feb,Meru County,3380,20,88,54,71,2529,171,253,67
21-Feb,Marsabit County,2388,22,374,76,99,1792,60,493,459
21-Feb,Mandera County,3572,18,60,12,64,3894,188,427,411
21-Feb,Makueni County,7391,9,274,120,64,3291,124,682,154
21-Feb,Machakos County,4842,193,51,90,74,4122,354,719,180
21-Feb,Lamu County,191,,8,,,823,11,16,10
21-Feb,Laikipia County,2389,45,148,147,42,1426,318,377,61
21-Feb,Kwale County,6809,24,484,77,199,2723,156,752,329
21-Feb,Kitui County,5654,2,398,169,148,2523,149,674,379
21-Feb,Kisumu County,2703,38,21,60,4,2177,116,297,62
21-Feb,Kisii County,1576,,33,44,3,1325,163,194,10
21-Feb,Wajir County,7706,580,105,7,254,1969,55,460,477
21-Feb,West Pokot County,2567,44,28,32,22,2477,69,102,45
21-Mar,Baringo County,4291,8,150,63,55,2331,92,308,132
21-Mar,Bomet County,1291,,4,2,,2582,64,142,14
21-Mar,Bungoma County,11159,,67,88,36,3464,529,401,175
21-Mar,Busia County,9630,20,288,147,82,2147,272,558,342
21-Mar,Elgeyo Marakwet County,2116,,309,169,5,2783,147,239,32
21-Mar,Embu County,9178,37,263,79,46,1160,125,502,64
21-Mar,Garissa County,6944,93,13,10,49,1362,103,418,437
21-Mar,Homa Bay County,4504,16,230,141,34,2314,144,371,63
21-Mar,Isiolo County,1071,25,16,11,24,788,18,131,72
21-Mar,Kajiado County,7161,43,320,460,39,5545,241,443,120
21-Mar,Kakamega County,12481,11,262,190,136,4281,243,1124,271
21-Mar,Kericho County,1625,,19,36,8,3136,136,246,24
21-Mar,Kiambu County,6722,141,411,408,57,6831,593,1188,148
21-Mar,Kilifi County,7674,4,1236,368,197,8612,464,1959,411
21-Mar,Kirinyaga County,2110,,98,23,4,2095,112,355,33
21-Mar,Vihiga County,2865,28,120,43,29,816,117,295,80
21-Mar,Uasin Gishu County,7092,,342,775,13,6813,302,604,54
21-Mar,Turkana County,16440,92,354,101,283,6862,373,1345,1361
21-Mar,Trans Nzoia County,2138,2,169,107,9,2135,176,325,40
21-Mar,Tharaka Nithi County,2608,14,88,54,35,1094,124,278,48
21-Mar,Tana River County,1633,151,193,84,86,1688,53,382,212
21-Mar,Taita Taveta County,1877,14,206,65,65,659,98,359,143
21-Mar,Siaya County,5766,,10,146,2,2137,121,131,35
21-Mar,Samburu County,1365,16,103,15,18,2070,18,239,188
21-Mar,Nyeri County,3061,9,201,200,22,1407,230,390,82
21-Mar,Nyandarua County,2374,,55,72,7,1217,100,204,23
21-Mar,Nyamira County,2008,,6,45,4,1011,24,58,6
21-Mar,Narok County,7225,25,105,71,18,2227,114,168,55
21-Mar,Nandi County,4946,23,85,36,15,2008,98,256,45
21-Mar,Nakuru County,9578,79,321,221,57,7239,1158,1388,266
21-Mar,Nairobi County,17603,291,1774,756,319,10302,1170,5348,577
21-Mar,Muranga County,4975,6,529,463,92,1860,493,919,278
21-Mar,Mombasa County,3331,174,230,164,15,3948,371,1146,152
21-Mar,Migori County,6848,35,51,19,24,3171,108,147,37
21-Mar,Meru County,3528,22,228,162,43,2724,230,308,57
21-Mar,Marsabit County,2920,109,273,29,248,2200,189,675,697
21-Mar,Mandera County,3460,72,60,32,34,4608,104,371,402
21-Mar,Makueni County,8419,10,340,48,203,2886,116,721,235
21-Mar,Machakos County,5437,176,50,31,103,4118,374,895,227
21-Mar,Lamu County,294,,37,5,,710,22,53,18
21-Mar,Laikipia County,2143,48,135,152,30,1509,310,365,54
21-Mar,Kwale County,8138,65,547,186,326,3254,211,967,499
21-Mar,Kitui County,5920,6,328,72,254,2443,357,589,307
21-Mar,Kisumu County,6782,56,101,91,82,3747,197,439,134
21-Mar,Kisii County,4585,,179,152,14,2376,290,209,42
21-Mar,Wajir County,6749,539,41,1,170,2346,55,384,522
21-Mar,West Pokot County,2762,25,76,60,25,2179,140,256,61
21-Apr,Baringo County,3306,4,145,72,29,1847,101,308,157
21-Apr,Bomet County,944,,3,,14,2336,71,127,12
21-Apr,Bungoma County,7186,,132,107,84,2886,255,327,126
21-Apr,Busia County,4997,20,352,90,138,1465,197,536,193
21-Apr,Elgeyo Marakwet County,1699,,104,102,7,1867,59,265,13
21-Apr,Embu County,2349,,227,105,54,762,184,469,53
21-Apr,Garissa County,7073,95,24,5,28,1756,116,315,610
21-Apr,Homa Bay County,3209,69,145,68,18,1410,207,241,51
21-Apr,Isiolo County,874,35,41,99,99,734,53,109,139
21-Apr,Kajiado County,5459,87,197,258,34,3365,203,332,78
21-Apr,Kakamega County,10098,16,84,649,24,3713,387,340,66
21-Apr,Kericho County,1583,,2,1,5,2340,98,202,70
21-Apr,Kiambu County,7076,137,352,596,57,4226,619,1302,118
21-Apr,Kilifi County,6301,4,869,309,181,6005,521,1592,312
21-Apr,Kirinyaga County,1762,,142,39,5,1504,112,367,50
21-Apr,Vihiga County,2349,29,130,61,25,563,102,231,41
21-Apr,Uasin Gishu County,4935,1,188,764,16,5115,276,517,49
21-Apr,Turkana County,15382,337,289,110,209,7586,240,1503,1426
21-Apr,Trans Nzoia County,1518,22,146,109,13,1735,192,272,32
21-Apr,Tharaka Nithi County,1669,13,106,28,49,758,86,476,63
21-Apr,Tana River County,2271,273,142,18,41,1193,84,353,158
21-Apr,Taita Taveta County,1968,18,173,63,73,604,109,294,117
21-Apr,Siaya County,4132,,42,32,11,1526,299,128,43
21-Apr,Samburu County,1139,,48,90,49,1639,37,1047,324
21-Apr,Nyeri County,2540,5,383,179,13,822,266,799,66
21-Apr,Nyandarua County,2060,,117,83,13,754,146,214,51
21-Apr,Nyamira County,2160,,35,84,1,849,45,95,6
21-Apr,Narok County,4907,24,54,42,20,2211,93,169,81
21-Apr,Nandi County,3762,16,88,45,9,1529,82,208,31
21-Apr,Nakuru County,8719,62,552,332,64,4825,831,1141,132
21-Apr,Nairobi County,18502,446,1801,721,163,8168,1193,2846,463
21-Apr,Muranga County,5422,1,323,270,59,1137,329,577,65
21-Apr,Mombasa County,2727,118,536,197,41,2667,343,994,176
21-Apr,Migori County,6171,27,45,24,14,3093,85,165,29
21-Apr,Meru County,3199,20,110,71,322,2350,268,370,32
21-Apr,Marsabit County,4045,91,205,33,158,1726,106,636,661
21-Apr,Mandera County,3664,99,67,34,66,4479,181,388,536
21-Apr,Makueni County,5775,10,343,85,105,1896,166,637,172
21-Apr,Machakos County,5106,233,40,79,80,2848,347,842,132
21-Apr,Lamu County,258,,11,27,5,603,21,42,17
21-Apr,Laikipia County,1848,66,205,193,45,1001,389,436,111
21-Apr,Kwale County,22202,44,537,173,413,2541,207,938,584
21-Apr,Kitui County,4588,,388,431,99,1746,192,549,212
21-Apr,Kisumu County,5061,38,49,33,93,2491,185,432,150
21-Apr,Kisii County,2451,,56,468,14,1835,194,195,28
21-Apr,Wajir County,9840,584,125,36,272,2610,84,455,697
21-Apr,West Pokot County,2765,39,62,143,23,2426,43,250,79
21-May,Baringo County,13782,2,161,70,71,2131,98,391,110
21-May,Bomet County,1336,,11,4,2,2201,71,71,36
21-May,Bungoma County,9139,,46,268,59,3033,267,500,169
21-May,Busia County,5059,14,216,105,74,1719,197,391,168
21-May,Elgeyo Marakwet County,3497,,83,73,22,1690,87,228,113
21-May,Embu County,37043,10,255,348,227,961,161,697,80
21-May,Garissa County,6103,98,37,8,30,1828,102,536,383
21-May,Homa Bay County,3137,14,124,208,34,1332,147,363,50
21-May,Isiolo County,3280,11,19,5,95,922,20,90,124
21-May,Kajiado County,5632,50,178,81,41,3612,180,262,108
21-May,Kakamega County,10716,3,116,39,85,4701,150,467,361
21-May,Kericho County,1906,,2,6,2,1612,99,644,33
21-May,Kiambu County,20477,93,417,315,108,4929,660,1290,176
21-May,Kilifi County,127503,3,782,173,209,8403,348,1519,308
21-May,Kirinyaga County,1765,,152,51,19,2195,107,698,58
21-May,Vihiga County,2361,29,107,37,55,644,55,199,57
21-May,Uasin Gishu County,70708,,185,146,17,6443,280,478,46
21-May,Turkana County,37504,167,353,87,220,8708,191,1448,1401
21-May,Trans Nzoia County,1528,,128,198,15,1697,176,210,34
21-May,Tharaka Nithi County,23677,14,91,59,26,993,125,313,72
21-May,Tana River County,1398,79,160,32,54,1235,35,326,201
21-May,Taita Taveta County,31430,,343,45,53,783,159,377,133
21-May,Siaya County,30485,,31,8,86,2241,86,213,598
21-May,Samburu County,17181,,33,10,29,2101,80,248,282
21-May,Nyeri County,4571,12,265,183,18,882,228,417,88
21-May,Nyandarua County,19963,,83,64,13,664,141,235,30
21-May,Nyamira County,5602,,28,47,4,888,66,129,18
21-May,Narok County,6196,29,212,59,21,2201,126,139,63
21-May,Nandi County,21548,16,98,89,29,1320,121,232,39
21-May,Nakuru County,15893,21,365,152,48,5187,636,1199,173
21-May,Nairobi County,91975,264,1528,566,2036,9616,1157,3388,558
21-May,Muranga County,21263,1,321,209,38,1423,318,748,251
21-May,Mombasa County,3103,130,291,177,34,3909,299,1112,173
21-May,Migori County,23069,26,36,24,105,2067,61,104,24
21-May,Meru County,3373,17,103,42,13,2111,198,234,45
21-May,Marsabit County,15936,34,293,20,368,1877,69,745,592
21-May,Mandera County,2693,55,101,57,74,5625,198,527,477
21-May,Makueni County,24638,17,336,79,140,2169,151,624,238
21-May,Machakos County,21059,63,43,65,99,3724,424,757,177
21-May,Lamu County,218,,6,3,,615,10,34,13
21-May,Laikipia County,2322,28,181,220,68,1318,396,428,80
21-May,Kwale County,56028,21,384,169,231,3263,206,650,378
21-May,Kitui County,11182,,277,77,268,1809,172,543,298
21-May,Kisumu County,4996,13,54,25,44,3336,152,326,199
21-May,Kisii County,2875,,178,240,57,1886,251,174,14
21-May,Wajir County,5875,139,67,13,328,2960,65,416,504
21-May,West Pokot County,24290,29,65,11,53,2552,30,184,166
21-Jun,Baringo County,24348,,117,95,122,2705,84,253,175
21-Jun,Bomet County,2022,,2,2,3,2428,63,88,10
21-Jun,Bungoma County,11934,,174,81,37,2888,347,408,543
21-Jun,Busia County,8405,8,278,150,30,1743,151,652,285
21-Jun,Elgeyo Marakwet County,25067,,110,101,31,2581,139,162,52
21-Jun,Embu County,2576,41,389,60,35,922,148,816,75
21-Jun,Garissa County,26915,67,35,5,49,1769,98,447,519
21-Jun,Homa Bay County,3133,5,57,71,6,1084,70,173,13
21-Jun,Isiolo County,21825,12,114,17,65,1024,46,117,121
21-Jun,Kajiado County,16036,38,253,79,123,3052,151,436,71
21-Jun,Kakamega County,43050,,97,44,104,4586,207,455,248
21-Jun,Kericho County,1933,,8,5,4,2933,122,235,24
21-Jun,Kiambu County,7003,85,497,420,111,4228,576,856,202
21-Jun,Kilifi County,104764,10,824,215,241,6633,316,1402,344
21-Jun,Kirinyaga County,1682,,145,67,28,4114,134,394,37
21-Jun,Vihiga County,2160,21,117,32,70,631,77,221,47
21-Jun,Uasin Gishu County,8560,,273,108,176,6029,253,605,81
21-Jun,Turkana County,10137,182,286,157,214,6518,168,1267,1353
21-Jun,Trans Nzoia County,1880,,62,72,26,1789,125,200,42
21-Jun,Tharaka Nithi County,2720,15,162,82,14,662,123,483,38
21-Jun,Tana River County,2688,147,147,7,47,1429,53,357,187
21-Jun,Taita Taveta County,1225,,114,40,86,1802,91,276,236
21-Jun,Siaya County,71121,4,10,8,105,2579,64,369,155
21-Jun,Samburu County,10829,2,38,51,23,2231,68,599,253
21-Jun,Nyeri County,7151,32,210,134,71,821,291,427,66
21-Jun,Nyandarua County,3757,,108,74,4,881,165,225,38
21-Jun,Nyamira County,2499,,33,11,1,779,41,56,7
21-Jun,Narok County,101894,17,90,206,159,2195,132,260,177
21-Jun,Nandi County,6861,15,71,138,27,1771,199,212,332
21-Jun,Nakuru County,82403,39,460,245,102,6824,737,1407,191
21-Jun,Nairobi County,141850,295,1499,738,262,9212,1164,3711,432
21-Jun,Muranga County,4291,1,469,360,34,1205,437,746,119
21-Jun,Mombasa County,3666,281,539,244,39,5232,350,858,168
21-Jun,Migori County,14330,21,52,252,20,2245,83,249,37
21-Jun,Meru County,39597,28,132,76,31,1746,236,222,52
21-Jun,Marsabit County,16681,13,178,17,179,1613,65,395,567
21-Jun,Mandera County,3424,51,113,70,691,5650,272,554,1017
21-Jun,Makueni County,23502,24,296,73,110,1964,137,510,197
21-Jun,Machakos County,5072,155,60,112,60,3038,377,629,171
21-Jun,Lamu County,139,,2,5,,633,15,42,14
21-Jun,Laikipia County,23218,33,262,232,51,1357,402,405,74
21-Jun,Kwale County,6341,28,335,97,243,2584,189,598,342
21-Jun,Kitui County,65676,5,288,153,114,1745,157,501,255
21-Jun,Kisumu County,5628,32,40,18,25,3343,138,358,60
21-Jun,Kisii County,3919,,105,187,7,2325,204,362,23
21-Jun,Wajir County,9815,242,148,13,292,2453,93,345,570
21-Jun,West Pokot County,12700,24,71,13,31,2474,42,205,51
21-Jul,Baringo County,4067,1,113,48,168,2387,250,180,159.5
21-Jul,Bomet County,1362,,2,22,4,3075,97,81,17
21-Jul,Bungoma County,7558,,338,65,19,2037,287,299,228
21-Jul,Busia County,4014,4,216,90,40,1576,199,404,86
21-Jul,Elgeyo Marakwet County,1617,,59,42,5,1992,64,90,8
21-Jul,Embu County,3008,20,265,76,43,783,151,510,94
21-Jul,Garissa County,5896,94,25,100,97,1722,134,357,571
21-Jul,Homa Bay County,3428,43,55,142,14,1794,240,116,21
21-Jul,Isiolo County,805,11,20,8,6,850,23,73,32
21-Jul,Kajiado County,4687,30,255,302,54,2983,167,374,65
21-Jul,Kakamega County,12753,7,119,75,33,3333,249,546,190
21-Jul,Kericho County,2369,,49,48,9,2058,149,313,38
21-Jul,Kiambu County,6438,92,746,451,72,4406,733,973,118
21-Jul,Kilifi County,5834,2,871,318,224,8711,452,1607,382
21-Jul,Kirinyaga County,1739,1,516,104,16,1742,209,441,20
21-Jul,Vihiga County,1579,32,127,41,20,635,84,151,46
21-Jul,Uasin Gishu County,5422,,260,87,168,4397,221,523,29
21-Jul,Turkana County,7780,237,336,131,312,5901,245,1214,1177
21-Jul,Trans Nzoia County,1060,,85,104,13,1502,152,196,29
21-Jul,Tharaka Nithi County,4064,26,187,57,47,599,128,274,57
21-Jul,Tana River County,1719,238,99,11,65,1924,76,399,236
21-Jul,Taita Taveta County,1226,,378,59,78,1174,147,346,149
21-Jul,Siaya County,3277,2,29,22,35,1885,284,219,44
21-Jul,Samburu County,1790,13,125,27,13,1711,98,394,286
21-Jul,Nyeri County,3647,9,232,164,36,900,255,471,58
21-Jul,Nyandarua County,2319,,118,81,20,814,134,223,59
21-Jul,Nyamira County,2823,,67,36,5,841,81,123,10
21-Jul,Narok County,7319,19,95,141,35,1809,99,187,63
21-Jul,Nandi County,7651,,209,77,159,1860,158,319,68
21-Jul,Nakuru County,9921,67,532,233,50,5868,747,2008,980
21-Jul,Nairobi County,21430,278,1600,775,261,8798,1039,2659,431
21-Jul,Muranga County,4190,,310,251,71,1338,351,547,86
21-Jul,Mombasa County,3491,208,245,615,21,4525,252,753,114
21-Jul,Migori County,6811,6,32,40,36,3070,79,91,26
21-Jul,Meru County,5086,29,413,95,23,1419,233,295,2748
21-Jul,Marsabit County,2435,5,290,75,279,1764,90,517,596
21-Jul,Mandera County,3010,103,130,143,117,4287,140,462,439
21-Jul,Makueni County,6733,3,307,126,93,1781,208,563,172
21-Jul,Machakos County,4818,121,42,43,123,2756,490,765,164
21-Jul,Lamu County,297,,31,12,2,789,39,81,33
21-Jul,Laikipia County,3024,36,245,215,50,1407,413,421,73
21-Jul,Kwale County,7575,47,402,213,296,2731,392,719,351
21-Jul,Kitui County,4731,13,255,202,73,1696,205,479,206
21-Jul,Kisumu County,4449,60,97,77,22,2432,405,429,371
21-Jul,Kisii County,2954,,76,254,6,2137,285,120,44
21-Jul,Wajir County,5776,383,78,33,153,2054,58,410,527
21-Jul,West Pokot County,3094,24,23,14,19,2334,46,137,92
21-Aug,Baringo County,3153,2,110,113,53,2465,83,176,144
21-Aug,Bomet County,938,,,5,12,2682,107,128,40
21-Aug,Bungoma County,9795,,154,54,31,2906,346,454,178
21-Aug,Busia County,3875,5,228,106,51,1539,199,436,127
21-Aug,Elgeyo Marakwet County,2158,,82,100,13,1849,71,133,26
21-Aug,Embu County,2971,18,252,136,34,1180,139,542,74
21-Aug,Garissa County,7728,51,94,2,112,1995,129,421,501
21-Aug,Homa Bay County,3017,53,99,74,10,2158,97,201,49
21-Aug,Isiolo County,1243,147,25,207,3,884,14,130,123
21-Aug,Kajiado County,4912,45,314,360,15,2982,141,225,140
21-Aug,Kakamega County,10992,,155,94,102,3290,285,602,127
21-Aug,Kericho County,1998,,66,29,168,2821,161,189,25
21-Aug,Kiambu County,6386,66,584,469,60,5322,722,987,146
21-Aug,Kilifi County,7053,,992,431,183,9181,460,1668,359
21-Aug,Kirinyaga County,1495,,384,120,30,1740,220,499,58
21-Aug,Vihiga County,2862,25,70,34,15,653,97,281,54
21-Aug,Uasin Gishu County,4975,,215,99,16,4132,226,600,29
21-Aug,Turkana County,6836,115,196,133,377,6265,322,1143,1552
21-Aug,Trans Nzoia County,1490,2,122,134,59,1316,159,192,43
21-Aug,Tharaka Nithi County,2183,22,147,64,49,851,110,365,71
21-Aug,Tana River County,1889,135,128,10,40,1915,36,336,229
21-Aug,Taita Taveta County,1956,,154,64,45,1074,160,369,157
21-Aug,Siaya County,3151,,25,14,15,2851,77,155,42
21-Aug,Samburu County,1507,15,66,103,20,1557,81,308,267
21-Aug,Nyeri County,3604,11,281,155,42,973,232,399,90
21-Aug,Nyandarua County,2287,,235,351,33,944,105,234,69
21-Aug,Nyamira County,1868,,42,15,23,1061,77,296,8
21-Aug,Narok County,6018,6,58,103,6,2026,90,500,23
21-Aug,Nandi County,7001,,177,109,26,1837,136,348,150
21-Aug,Nakuru County,13014,40,412,295,37,6610,909,1279,165
21-Aug,Nairobi County,19659,228,2118,752,241,9574,1156,3131,537
21-Aug,Muranga County,4558,,319,317,137,1612,493,565,109
21-Aug,Mombasa County,3013,115,386,184,30,4311,278,812,119
21-Aug,Migori County,7557,16,42,68,51,4119,100,208,57
21-Aug,Meru County,4605,22,119,116,35,1566,1738,287,46
21-Aug,Marsabit County,2783,5,77,40,130,1658,34,445,544
21-Aug,Mandera County,2728,55,81,82,130,4493,108,347,488
21-Aug,Makueni County,6875,10,320,125,125,2123,141,443,281
21-Aug,Machakos County,5463,185,30,53,94,2662,417,732,212
21-Aug,Lamu County,205,,15,9,2,1010,34,76,24
21-Aug,Laikipia County,2426,30,241,258,65,796,416,447,72
21-Aug,Kwale County,7442,37,392,138,274,3404,219,650,412
21-Aug,Kitui County,4560,3,212,218,78,2053,254,495,249
21-Aug,Kisumu County,5086,39,101,26,61,3061,143,627,263
21-Aug,Kisii County,3290,,76,178,22,2506,196,115,27
21-Aug,Wajir County,6742,362,217,25,425,2222,50,604,903
21-Aug,West Pokot County,3744,20,45,47,14,1948,55,169,57
21-Sep,Baringo County,4715,3,134,106,65,2411,164,297,207
21-Sep,Bomet County,1180,,8,7,12,2303,84,95,16
21-Sep,Bungoma County,8857,,120,99,20,2615,574,324,150
21-Sep,Busia County,4273,,253,218,113,1858,396,401,988
21-Sep,Elgeyo Marakwet County,1513,,85,53,4,1557,66,123,7
21-Sep,Embu County,3000,52,278,96,64,1113,169,593,99
21-Sep,Garissa County,7624,113,21,3,113,1896,77,251,381
21-Sep,Homa Bay County,2265,6,88,75,5,1220,82,105,51
21-Sep,Isiolo County,746,46,29,62,50,925,50,199,163
21-Sep,Kajiado County,6776,82,459,120,54,3468,161,371,136
21-Sep,Kakamega County,9471,1,154,76,33,3147,256,382,211
21-Sep,Kericho County,1916,,21,43,11,9729,166,242,62
21-Sep,Kiambu County,6231,74,543,609,72,5607,654,970,129
21-Sep,Kilifi County,7235,1,903,287,187,6971,362,1448,400
21-Sep,Kirinyaga County,1470,,263,116,17,1665,290,575,52
21-Sep,Vihiga County,3033,38,361,30,26,668,68,220,83
21-Sep,Uasin Gishu County,5917,,179,147,15,3600,213,623,30
21-Sep,Turkana County,9208,207,379,188,274,5840,327,1494,2964
21-Sep,Trans Nzoia County,1670,3,118,160,25,1127,155,227,27
21-Sep,Tharaka Nithi County,2234,10,179,86,197,951,127,331,61
21-Sep,Tana River County,1716,156,148,10,36,1575,42,498,235
21-Sep,Taita Taveta County,5741,3,140,64,87,714,123,448,203
21-Sep,Siaya County,4924,,22,8,49,1514,63,124,15
21-Sep,Samburu County,1319,1,56,15,27,1835,53,892,211
21-Sep,Nyeri County,3356,14,205,155,12,935,249,453,34
21-Sep,Nyandarua County,2325,,89,77,17,964,106,213,49
21-Sep,Nyamira County,3068,,73,81,12,1270,83,88,18
21-Sep,Narok County,5333,19,77,265,13,2301,113,179,47
21-Sep,Nandi County,4241,7,273,79,107,1552,148,433,205
21-Sep,Nakuru County,12040,56,350,273,116,6135,783,1190,136
21-Sep,Nairobi County,20609,349,1599,694,387,12455,1361,2716,477
21-Sep,Muranga County,4811,,475,370,69,1331,396,685,118
21-Sep,Mombasa County,3059,106,294,170,47,3100,320,818,125
21-Sep,Migori County,7721,27,70,37,25,3750,124,242,85
21-Sep,Meru County,4568,23,118,73,46,1481,205,360,32
21-Sep,Marsabit County,2453,43,90,17,105,1738,63,482,680
21-Sep,Mandera County,3234,66,50,89,65,4412,179,498,570
21-Sep,Makueni County,9843,12,314,98,115,2316,124,1033,193
21-Sep,Machakos County,5529,130,52,15,77,2861,335,751,140
21-Sep,Lamu County,255,,25,19,1,878,28,57,14
21-Sep,Laikipia County,2496,36,237,246,50,1445,411,444,64
21-Sep,Kwale County,7082,64,472,156,641,3319,274,1267,432
21-Sep,Kitui County,4456,6,274,186,125,1788,256,503,219
21-Sep,Kisumu County,5486,50,66,91,40,3670,230,409,145
21-Sep,Kisii County,2627,,94,191,3,2574,218,276,38
21-Sep,Wajir County,5772,214,262,4,251,2349,41,558,583
21-Sep,West Pokot County,4315,52,55,39,47,2451,92,126,174
21-Oct,Baringo County,3745,,317,75,41,2290,59,247,166
21-Oct,Bomet County,1409,,,6,11,2384,114,92,32
21-Oct,Bungoma County,8434,,265,88,110,2115,388,402,221
21-Oct,Busia County,4228,,192,121,32,1664,238,1046,89
21-Oct,Elgeyo Marakwet County,1966,,74,73,6,1468,89,150,13
21-Oct,Embu County,1668,6,110,44,11,580,90,326,84
21-Oct,Garissa County,9040,112,17,5,29,1988,47,909,705
